"ttmt" "ID" "rep" "mercury" "Count.Y0" "Count.Y24" "Count.R0" "Count.R24" "RF_w" "RF_r" "RF_slope" "strain" "host" "host.label" "plasmid" "reference_host" "reference_host_label" "reference_plasmid" "reference"
"3B" "3B" 9 0 2480 2185 2462 3212 1.08765436942215 0.392562499951591 -0.742448389559341 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B" 3 0 2432 2282 2588 3031 1.04880953881361 0.221668934101048 -0.678831615580693 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B.H" 5 40 2682 2308 2368 3178 1.09975059697488 0.444387787306399 -0.807505287333344 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B.H" 8 40 2827 2373 2212 2947 1.10427547324863 0.461951721353296 -0.770288159251563 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B.H" 6 40 2303 2026 2669 3400 1.08269355417629 0.370220776211784 -0.666225306929617 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B.H" 9 40 2480 1984 2462 3585 1.13667831063927 0.598927997603532 -0.867591563330779 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B" 6 0 2303 2470 2669 2844 0.998610129612715 -0.00649788828273046 1.48613268779684 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B.H" 2 40 2430 2015 2645 3009 1.07157448755353 0.316208794291456 -0.662852968713026 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B.H" 3 40 2432 1959 2588 3353 1.10828475466753 0.475249915986954 -0.863580985918592 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B" 2 0 2430 2303 2645 2877 1.03026604669605 0.137755655773057 -0.38716395492838 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B" 5 0 2682 2456 2368 2780 1.05499805355388 0.248433985255377 -0.560164084689106 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B.H" 7 40 2272 2010 2676 3570 1.09163524808118 0.410768232313486 -0.825906729049928 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B.H" 10 40 2405 1973 2458 3627 1.13320380012382 0.587052525674169 -0.905137587211836 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B" 8 0 2827 2674 2212 2615 1.04901773022356 0.223007613888499 -0.635548739277359 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B" 10 0 2405 2452 2458 2829 1.02621267805775 0.121221166659347 -0.393501560756728 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B" 4 0 2363 2337 2613 2990 1.03174466061241 0.145838343512169 -0.36509757273932 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
