ttmt,ID,rep,mercury,Count.Y0,Count.Y24,Count.R0,Count.R24,RF_w,RF_r,strain,host,host.label,plasmid,reference_host,reference_host_label,reference_plasmid,reference
4C,4C,5,0,2505,2425,2481,2930,1.043474832,0.198797928,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C,6,0,2388,2585,2616,2820,0.999107927,-0.004178861,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C,7,0,2490,2271,2524,3241,1.075801298,0.342099427,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C,8,0,2497,2404,2609,2982,1.03756846,0.171583205,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C,9,0,2284,2464,2674,3019,1.009718468,0.045492418,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C,10,0,2332,2451,2724,2968,1.007737393,0.036017101,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,1,40,2577,2514,2574,2722,1.017609003,0.080656617,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,2,40,2292,2403,2855,3001,1.000554666,0.002580565,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,3,40,2221,2493,2959,2768,0.961392248,-0.182255595,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,4,40,2750,2538,2486,2854,1.04823728,0.218271068,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,5,40,2505,2467,2481,3034,1.047170268,0.216506073,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,6,40,2388,2541,2616,2764,0.998485403,-0.007069036,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,7,40,2490,2377,2524,3227,1.064086205,0.29215149,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,8,40,2497,2324,2609,3130,1.055999437,0.253866171,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,9,40,2284,2462,2674,3083,1.014375818,0.067281934,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
4C,4C.H,10,40,2332,2425,2724,3005,1.012719083,0.059070924,SBW25d4242.dTomato pQBR57d0059,SBW25d4242,dTomato,pQBR57d0059,SBW25d4242,YFP,pQBR57,SBW25d4242.YFP pQBR57
